fit_time,score_time,test_score,train_score
-0.3540618419647217,0.055344343185424805,0.8222222222222222,0.9575530586766542
0.7658829689025879,0.05583477020263672,0.8764044943820225,0.9588528678304239
0.7896890640258789,0.07467031478881836,0.7752808988764045,0.9576059850374065
0.7554128170013428,0.05029153823852539,0.8202247191011236,0.9551122194513716
0.8005542755126953,0.049341678619384766,0.8764044943820225,0.956359102244389
0.7773241996765137,0.05691123008728027,0.8089887640449438,0.9588528678304239
0.8627455234527588,0.057207584381103516,0.8202247191011236,0.9576059850374065
0.7040929794311523,0.04910135269165039,0.8539325842696629,0.9538653366583542
0.75705885887146,0.07181215286254883,0.7752808988764045,0.9538653366583542
0.7387959957122803,0.055609703063964844,0.7303370786516854,0.9588528678304239
