Run,Train (Mean),Train (Std),Test (Mean),Test (Std),Params
0,33.56,0.1,31.13,1.89,"{'model__max_depth': 2, 'model__n_estimators': 85}"
1,33.56,0.12,31.17,1.8,"{'model__max_depth': 2, 'model__n_estimators': 80}"
2,33.63,0.1,31.2,1.85,"{'model__max_depth': 2, 'model__n_estimators': 75}"
3,33.59,0.15,31.23,1.84,"{'model__max_depth': 2, 'model__n_estimators': 70}"
4,33.53,0.2,31.21,1.75,"{'model__max_depth': 2, 'model__n_estimators': 65}"
5,33.5,0.19,31.09,1.85,"{'model__max_depth': 2, 'model__n_estimators': 60}"
6,41.9,0.23,39.81,1.3,"{'model__max_depth': 3, 'model__n_estimators': 85}"
7,41.87,0.24,39.77,1.3,"{'model__max_depth': 3, 'model__n_estimators': 80}"
8,41.9,0.23,39.76,1.31,"{'model__max_depth': 3, 'model__n_estimators': 75}"
9,41.89,0.24,39.78,1.29,"{'model__max_depth': 3, 'model__n_estimators': 70}"
10,41.88,0.26,39.74,1.29,"{'model__max_depth': 3, 'model__n_estimators': 65}"
11,41.88,0.25,39.79,1.25,"{'model__max_depth': 3, 'model__n_estimators': 60}"
12,46.38,0.21,42.18,1.14,"{'model__max_depth': 4, 'model__n_estimators': 85}"
13,46.36,0.22,42.19,1.14,"{'model__max_depth': 4, 'model__n_estimators': 80}"
14,46.37,0.22,42.19,1.15,"{'model__max_depth': 4, 'model__n_estimators': 75}"
15,46.35,0.23,42.21,1.14,"{'model__max_depth': 4, 'model__n_estimators': 70}"
16,46.35,0.22,42.18,1.11,"{'model__max_depth': 4, 'model__n_estimators': 65}"
17,46.35,0.23,42.17,1.12,"{'model__max_depth': 4, 'model__n_estimators': 60}"
18,49.32,0.29,41.94,1.53,"{'model__max_depth': 5, 'model__n_estimators': 85}"
19,49.3,0.3,41.98,1.51,"{'model__max_depth': 5, 'model__n_estimators': 80}"
20,49.31,0.29,42.03,1.52,"{'model__max_depth': 5, 'model__n_estimators': 75}"
21,49.3,0.28,42.01,1.55,"{'model__max_depth': 5, 'model__n_estimators': 70}"
22,49.29,0.29,41.96,1.56,"{'model__max_depth': 5, 'model__n_estimators': 65}"
23,49.29,0.28,41.94,1.55,"{'model__max_depth': 5, 'model__n_estimators': 60}"
24,51.88,0.33,42.16,1.83,"{'model__max_depth': 6, 'model__n_estimators': 85}"
25,51.86,0.34,42.25,1.8,"{'model__max_depth': 6, 'model__n_estimators': 80}"
26,51.86,0.33,42.31,1.83,"{'model__max_depth': 6, 'model__n_estimators': 75}"
27,51.84,0.33,42.23,1.87,"{'model__max_depth': 6, 'model__n_estimators': 70}"
28,51.82,0.33,42.18,1.85,"{'model__max_depth': 6, 'model__n_estimators': 65}"
29,51.82,0.33,42.22,1.83,"{'model__max_depth': 6, 'model__n_estimators': 60}"
30,53.54,0.34,41.3,1.89,"{'model__max_depth': 7, 'model__n_estimators': 85}"
31,53.52,0.34,41.35,1.85,"{'model__max_depth': 7, 'model__n_estimators': 80}"
32,53.51,0.34,41.47,1.86,"{'model__max_depth': 7, 'model__n_estimators': 75}"
33,53.51,0.35,41.38,1.89,"{'model__max_depth': 7, 'model__n_estimators': 70}"
34,53.48,0.35,41.38,1.87,"{'model__max_depth': 7, 'model__n_estimators': 65}"
35,53.48,0.34,41.41,1.83,"{'model__max_depth': 7, 'model__n_estimators': 60}"
36,54.86,0.33,40.62,2.0,"{'model__max_depth': 8, 'model__n_estimators': 85}"
37,54.84,0.33,40.69,1.96,"{'model__max_depth': 8, 'model__n_estimators': 80}"
38,54.83,0.34,40.79,1.96,"{'model__max_depth': 8, 'model__n_estimators': 75}"
39,54.84,0.34,40.7,2.0,"{'model__max_depth': 8, 'model__n_estimators': 70}"
40,54.81,0.33,40.68,1.99,"{'model__max_depth': 8, 'model__n_estimators': 65}"
41,54.81,0.34,40.67,1.96,"{'model__max_depth': 8, 'model__n_estimators': 60}"
